Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Single-cell battery,Battery_Cell,BT1BT2BT3,BH23APC,BH23APC,3,~
2,,CP-Device,C3,-,TantalC_SizeC_Reflow,1,
3,Unpolarized capacitor,C,C5C6C7C8C9,100nF/50V,SMD-0805,5,~
4,,CP-Device,C2,470uF/50V - GT470/50,CP_Radial_D10.0mm_P5.00mm,1,
5,Unpolarized capacitor,C,C4,4u7/50V,SMD-0805,1,~
6,,EMI_Filter_C-Device,C1,EMI_Filter_C,FIR_1806,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb
7,2x01 2.54 mm pitch header,HEADER_2x01,J7J8J9,HEADER_2x01,Straight_1x02,3,
8,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J1J2J3J4J5,HEADER_2x01_PARALLEL,Straight_2x01,5,
9,MLAB modified doubled pinheader connector,JUMP2_2x1,J6,JUMP2_2x1,Straight_1x02,1,
10,Resistor,R,R1R3R5R7,4k7,SMD-0805,4,~
11,Resistor,R,R2R4R6R8,12k,SMD-0805,4,~
12,,R_POT-Device,RV1RV2RV3RV4,3296W-10k,Potentiometer_Bourns_3296W_Vertical,4,
