Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","EMI_Filter_C","FIR_1806",48.2600,19.0500,90.0000,bottom
"C3","-","TantalC_SizeC_Reflow",38.7350,20.3048,-90.0000,bottom
"C4","4u7/50V","SMD-0805",45.0850,20.3200,90.0000,bottom
"C5","100nF/50V","SMD-0805",42.5450,20.6375,90.0000,bottom
"C6","100nF/50V","SMD-0805",52.3875,26.0350,180.0000,bottom
"C7","100nF/50V","SMD-0805",53.9750,20.0025,-90.0000,bottom
"C8","100nF/50V","SMD-0805",52.3875,14.6050,180.0000,bottom
"C9","100nF/50V","SMD-0805",49.5300,8.8900,180.0000,bottom
"R1","4k7","SMD-0805",55.8800,25.7175,90.0000,bottom
"R2","12k","SMD-0805",49.8475,28.5750,180.0000,bottom
"R3","4k7","SMD-0805",58.4200,25.7175,-90.0000,bottom
"R4","12k","SMD-0805",49.5300,23.4950,180.0000,bottom
"R5","4k7","SMD-0805",56.8325,19.6850,0.0000,bottom
"R6","12k","SMD-0805",51.4350,20.0025,90.0000,bottom
"R7","4k7","SMD-0805",56.8325,13.9700,0.0000,bottom
"R8","12k","SMD-0805",49.5300,11.4300,180.0000,bottom
